Optique physique 1
Magnétostatique et induction
Mécanique du solide et des fluides
Thermodynamique physique 2
Architecture de la matière 3
Chimie inorganique
Introduction science des matériaux
TP Physique
TP projet
SAC2  traitement des données
Matière libre
Langue: anglais
Electromagnétisme
Optique physique 2
Mécanique des milieux déformables
Physique nucléaire
Transfert thermique et matière
Ondes mécaniques
Systèmes binaires
Caractérisation des solides
TP physique
Préparation du stage/candidature
Préparation du stage/candidature SIO 
Recherche documentaire Capsules FST
SAC 3 bibliographie communication scientifique
Langue: anglais
Electromagnétisme et matière
Mécanique du solide et des fluides
Introduction à la modélisation
Introduction à la physique statistique
Introduction à la mécanique quantique
CHOIX1 : relativité
CHOIX2 : science des matériaux 
TP physique
SAC 4 : stage pratique
SAC4 Soutenance et rapport de stage
Langue: allemand
Electrocinétique
TP physique
Maths générales A
Outils informatiques
Pack de départ module 1
Motivation
Connaissance de soi
Module 2 SCD
Découverte des services de l’UHA
Langue: anglais
Mécanique du point 1
SAC 1 physique
TP Informatique-programmation
Informatique-programmation
Maths générales B
Doc numérique
Module SCD3
PIX
Poursuite d'études
Technique d’expression écrite
Matière libre
Langue: allemand
Architecture de la matière
Transformation de la matière 1
Chimie organique 1
Remise à niveau TP chimie
TP transformation de la matière
Maths générales C
PPP
Langue: anglais
Technique d'expression écrite
Mécanique du point 2
Thermodynamique physique 1
SAC Energie
Transformation de la matière 2
Chimie organique 2
TP mécanique-thermodynamique
TP chimie organique
TP transformation de la matière
Mathématiques pour la physique et chimie
Introduction MOOC
Développement durable
Technique d'expression écrite
Matière libre
Langue: allemand
